time_ms,rawAccelX_g,rawAccelY_g,rawAccelZ_g,rawGyroX_dps,rawGyroY_dps,rawGyroZ_dps,filteredAccelX_g,filteredAccelY_g,filteredAccelZ_g,filteredGyroX_dps,filteredGyroY_dps,filteredGyroZ_dps
15212,0.045508,0.041143,-0.745288,44.418396,17.146412,19.186335,-0.024599,-0.258847,-0.045562,5.449720,3.140501,2.675176
15312,0.014990,-0.219111,-0.364917,-34.169388,30.634962,1.003130,-0.016681,-0.250900,-0.109433,1.487808,5.889947,2.507972
15412,-0.153711,-0.292109,-0.065601,-1.299160,-8.235268,-0.470153,-0.044087,-0.259142,-0.100667,1.209112,4.477425,2.210159
15512,-0.155664,-0.233271,-0.083911,2.830611,-21.136030,4.438244,-0.066403,-0.253968,-0.097316,1.371261,1.916079,2.432968
15612,0.041602,-0.335566,-0.101489,6.029084,-22.158932,11.293206,-0.044802,-0.270287,-0.098150,1.837044,-0.491423,3.318992
15712,0.115576,-0.081904,-0.495044,-66.100693,95.428856,-75.508316,-0.012726,-0.232611,-0.177529,-4.956731,9.100607,-4.563741
15812,-0.612451,-0.607783,0.408276,54.708473,-69.174202,9.132901,-0.132671,-0.307645,-0.060368,1.009790,1.273124,-3.194076
15912,-0.065332,-0.207881,0.102856,22.105421,-31.456640,7.919160,-0.119203,-0.287692,-0.027723,3.119354,-1.999853,-2.082752
16012,-0.167871,-0.208857,-0.039478,0.777176,-3.464275,4.972595,-0.128937,-0.271925,-0.030074,2.885136,-2.146295,-1.377217
16112,-0.068750,-0.200068,-0.074878,0.662672,-14.960459,9.209237,-0.116900,-0.257554,-0.039035,2.662890,-3.427712,-0.318572
16212,-0.066797,-0.255488,-0.040942,-5.238091,-9.113131,-0.729695,-0.106879,-0.257141,-0.039416,1.872792,-3.996254,-0.359684
16312,-0.201562,-0.277949,0.032544,-3.215191,-2.739084,-0.325115,-0.125816,-0.261303,-0.025024,1.363993,-3.870537,-0.356227
16412,-0.194971,-0.253779,-0.069995,-8.772442,34.383057,7.407710,-0.139647,-0.259798,-0.034018,0.350349,-0.045176,0.420167
16512,-0.218408,-0.199580,-0.058520,30.601603,-144.151310,1.484046,-0.155399,-0.247754,-0.038919,3.375475,-14.455793,0.526555
16612,0.625342,0.028691,-0.465503,94.067245,-251.296340,-70.767860,0.000749,-0.192465,-0.124236,12.444654,-38.139854,-6.602889
16712,1.311865,-0.031611,-0.304126,-39.093052,-251.296340,-49.386181,0.262972,-0.160294,-0.160214,7.290883,-59.455505,-10.881219
16812,1.090186,0.060918,-0.654712,10.761909,12.505190,5.621450,0.428415,-0.116052,-0.259113,7.637985,-52.259434,-9.230951
16912,1.019141,-0.007686,-0.621020,6.296259,0.726565,-1.592290,0.546560,-0.094379,-0.331495,7.503813,-46.960835,-8.467085
17012,1.074316,-0.019404,-0.590259,5.723741,6.405954,-4.019771,0.652111,-0.079384,-0.383248,7.325806,-41.624157,-8.022353
17112,1.157080,0.043584,-0.591235,4.212290,64.405952,30.972595,0.753105,-0.054790,-0.424845,7.014454,-31.021141,-4.122857
17212,0.604834,-0.362666,-0.327808,-103.566340,248.970840,182.644350,0.723451,-0.116365,-0.405438,-4.043628,-3.021935,14.553867
17312,-0.842676,-0.143428,-0.751636,39.135956,248.970840,18.407709,0.410226,-0.121778,-0.474677,0.274332,22.177349,14.939252
17412,-0.829248,-0.234004,-0.649341,-16.428930,31.009007,-3.844198,0.162331,-0.144223,-0.509610,-1.395995,23.060514,13.060906
17512,-0.777979,-0.187861,-0.571216,-0.917481,5.680763,0.903893,-0.025731,-0.152951,-0.521931,-1.348143,21.322540,11.845204
17612,-0.795313,-0.185664,-0.739429,5.784809,10.871602,-9.920534,-0.179647,-0.159493,-0.565431,-0.634848,20.277447,9.668630
17712,-0.800684,-0.196895,-0.639087,10.120687,-36.914654,-26.103741,-0.303855,-0.166974,-0.580162,0.440706,14.558236,6.091392
17812,-0.888086,-0.226924,-0.553149,92.662666,-251.296340,-47.126640,-0.420701,-0.178964,-0.574759,9.662904,-12.027228,0.769587
17912,1.196875,0.050664,-0.668384,98.265724,-251.296340,-71.828934,-0.097186,-0.133038,-0.593484,18.523188,-35.954147,-6.490267
